,firstChar,lastChar,isLastCharVowel,lastTwoChar,gender
0,b,j,0,aj,1
1,r,n,0,in,1
2,s,t,0,at,1
3,b,r,0,er,1
4,a,t,0,it,1
5,k,l,0,al,1
6,k,d,0,id,1
7,s,v,0,iv,1
8,v,m,0,am,1
9,s,y,0,ay,1
10,a,i,1,hi,1
11,r,m,0,am,1
12,k,k,0,ak,1
13,g,t,0,it,1
14,c,l,0,al,1
15,a,n,0,an,1
16,k,d,0,id,1
17,r,v,0,ev,1
18,d,h,0,sh,1
19,n,r,0,ar,1
20,r,m,0,am,1
21,s,r,0,er,1
22,m,h,0,gh,1
23,r,t,0,it,1
24,r,t,0,it,1
25,s,h,0,sh,1
26,s,h,0,sh,1
27,s,h,0,sh,1
28,p,t,0,it,1
29,d,h,0,sh,1
30,g,n,0,an,1
31,a,d,0,nd,1
32,n,d,0,ad,1
33,g,t,0,it,1
34,s,v,0,iv,1
35,m,i,1,ti,1
36,k,l,0,al,1
37,r,t,0,it,1
38,r,t,0,it,1
39,m,t,0,at,1
40,r,j,0,aj,1
41,j,t,0,nt,1
42,s,k,0,ak,1
43,c,l,0,al,1
44,a,t,0,it,1
45,r,h,0,sh,1
46,m,a,1,da,1
47,d,m,0,am,1
48,m,j,0,oj,1
49,r,m,0,am,1
50,p,m,0,am,1
51,r,m,0,am,1
52,s,n,0,in,1
53,p,j,0,aj,1
54,s,k,0,ak,1
55,r,t,0,at,1
56,v,t,0,it,1
57,s,t,0,it,1
58,a,a,1,ra,1
59,k,i,1,li,1
60,b,a,1,ya,1
61,v,h,0,sh,1
62,d,r,0,er,1
63,a,n,0,an,1
64,m,n,0,an,1
65,h,t,0,nt,1
66,s,m,0,am,1
67,y,h,0,sh,1
68,a,h,0,sh,1
69,c,h,0,sh,1
70,s,t,0,it,1
71,s,l,0,al,1
72,g,r,0,er,1
73,p,n,0,an,1
74,i,n,0,an,1
75,a,n,0,in,1
76,m,l,0,ul,1
77,p,n,0,an,1
78,m,j,0,oj,1
79,s,y,0,ay,1
80,r,a,1,ja,1
81,p,n,0,an,1
82,s,p,0,ep,1
83,r,r,0,ar,1
84,p,h,0,sh,1
85,m,d,0,hd,1
86,n,j,0,aj,1
87,j,l,0,il,1
88,y,a,1,ta,1
89,r,l,0,ul,1
90,m,d,0,hd,1
91,r,l,0,ul,1
92,r,r,0,er,1
93,s,j,0,aj,1
94,r,n,0,an,1
95,s,p,0,ep,1
96,m,d,0,md,1
97,h,r,0,ar,1
98,d,k,0,ak,1
99,r,l,0,ul,1
100,a,h,0,kh,1
101,s,r,0,er,1
102,s,y,0,ay,1
103,a,t,0,it,1
104,m,d,0,hd,1
105,s,r,0,er,1
106,a,t,0,it,1
107,a,n,0,un,1
108,r,l,0,ul,1
109,k,r,0,ar,1
110,r,u,1,ju,1
111,k,p,0,ep,1
112,s,u,1,lu,1
113,l,t,0,it,1
114,p,t,0,it,1
115,a,n,0,an,1
116,j,r,0,or,1
117,s,t,0,it,1
118,t,e,1,ne,1
119,k,h,0,sh,1
120,b,i,1,ti,1
121,a,y,0,ay,1
122,s,r,0,er,1
123,d,k,0,ak,1
124,a,h,0,sh,1
125,d,a,1,ra,1
126,n,n,0,in,1
127,d,h,0,th,1
128,a,m,0,am,1
129,r,l,0,ul,1
130,j,r,0,er,1
131,a,n,0,an,1
132,v,y,0,ay,1
133,y,h,0,sh,1
134,k,r,0,ir,1
135,s,h,0,sh,1
136,r,h,0,sh,1
137,a,h,0,sh,1
138,r,l,0,ul,1
139,p,u,1,tu,1
140,v,k,0,ek,1
141,m,d,0,hd,1
142,f,n,0,an,1
143,v,u,1,su,1
144,v,u,1,su,1
145,s,m,0,am,1
146,s,l,0,ul,1
147,l,t,0,it,1
148,p,n,0,an,1
149,a,r,0,ir,1
150,k,l,0,al,1
151,s,v,0,iv,1
152,m,k,0,nk,1
153,r,t,0,it,1
154,s,m,0,om,1
155,b,u,1,lu,1
156,r,t,0,it,1
157,r,r,0,ar,1
158,m,k,0,ik,1
159,n,j,0,aj,1
160,s,t,0,et,1
161,a,t,0,at,1
162,a,t,0,it,1
163,a,v,0,av,1
164,a,h,0,sh,1
165,h,u,1,hu,1
166,h,h,0,sh,1
167,a,l,0,il,1
168,v,y,0,ay,1
169,v,k,0,ek,1
170,s,n,0,in,1
171,s,h,0,sh,1
172,b,r,0,er,1
173,r,n,0,an,1
174,s,y,0,ay,1
175,a,y,0,ay,1
176,y,r,0,er,1
177,s,h,0,sh,1
178,a,n,0,un,1
179,r,l,0,ul,1
180,v,s,0,as,1
181,v,d,0,od,1
182,s,n,0,an,1
183,m,n,0,an,1
184,s,p,0,ep,1
185,i,n,0,en,1
186,s,p,0,ep,1
187,t,n,0,an,1
188,k,p,0,ep,1
189,m,i,1,ri,1
190,r,h,0,sh,1
191,j,h,0,sh,1
192,v,l,0,al,1
193,m,d,0,hd,1
194,r,h,0,sh,1
195,k,p,0,ep,1
196,t,m,0,im,1
197,n,u,1,ku,1
198,b,a,1,la,1
199,b,j,0,aj,1
200,r,a,1,ra,1
201,r,t,0,it,1
202,u,m,0,am,1
203,b,u,1,lu,1
204,r,m,0,am,1
205,s,v,0,ev,1
206,b,b,0,b,1
207,d,y,0,ly,1
208,g,l,0,al,1
209,b,u,1,ru,1
210,v,n,0,in,1
211,m,h,0,sh,1
212,g,u,1,du,1
213,j,n,0,in,1
214,a,t,0,it,1
215,a,t,0,it,1
216,s,b,0,ab,1
217,r,h,0,sh,1
218,g,u,1,du,1
219,a,k,0,ek,1
220,g,m,0,am,1
221,p,i,1,ti,1
222,m,t,0,it,1
